,# of ratings (n),PROPORTION OF EXPECTED FINAL WORD (%),OTHER COMPLETIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be in the same ballpark,108,0.01,,boat,0.61,class,0.07,city,0.01,club,0.02,company,0.01,country,0.01,game,0.01,grade,0.02,league,0.05,mode,0.01,page,0.01,place,0.01,room,0.10,side,0.01,situation,0.01,terms,0.01,tribe,0.01,way,0.01,world,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be in the spotlight,110,0.00,,attic,0.01,back,0.01,ballpark,0.01,basement,0.02,bathroom,0.05,bed,0.01,boat,0.01,bottle,0.01,car,0.03,clear,0.02,closet,0.03,clover,0.01,dark,0.15,deep,0.01,doghouse,0.04,dumps,0.02,game,0.01,garden,0.01,hole,0.01,house,0.05,kitchen,0.02,know,0.02,loop,0.01,middle,0.05,mix,0.01,moment,0.01,money,0.02,mood,0.07,mud,0.01,news,0.01,pink,0.03,play,0.01,pool,0.01,race,0.02,red,0.01,right,0.01,ring,0.01,road,0.01,room,0.03,running,0.02,shit,0.01,shower,0.02,soup,0.02,store,0.01,suite,0.01,water,0.02,way,0.02,woods,0.02,wrong,0.01,zone,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be larger than life,108,0.89,,anything,0.01,earth,0.01,expected,0.01,her,0.01,him,0.01,his,0.01,normal,0.02,that,0.01,them,0.01,usual,0.01,whale,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be left holding the bag,104,0.60,,baby,0.02,ball,0.03,bill,0.02,blame,0.01,board,0.01,book,0.01,buck,0.01,bucket,0.02,cards,0.03,cup,0.02,egg,0.01,evidence,0.01,flag,0.01,glove,0.01,gun,0.03,hand,0.01,jar,0.01,key,0.01,leash,0.01,money,0.02,pieces,0.01,plate,0.01,slack,0.01,stick,0.01,tab,0.02,thing,0.01,ticket,0.01,torch,0.01,towel,0.01,umbrella,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be let off lightly,104,0.00,,balance,0.02,cold,0.01,downtown,0.03,early,0.08,easily,0.06,easy,0.65,here,0.04,it,0.01,justly,0.03,quick,0.02,today,0.02,work,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be like a slap in the face,111,0.93,,head,0.01,knee,0.01,nards,0.01,pan,0.01,throat,0.01,trend,0.01,wrist,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be no big deal,112,0.92,,disaster,0.01,fool,0.01,loss,0.01,penis,0.01,surprise,0.03,thing,0.01,toe,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be no spring chicken,107,0.92,,break,0.01,cleaner,0.01,clothes,0.01,cookie,0.02,day,0.01,flower,0.01,joy,0.01,well ,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be none the wiser,108,0.54,,above,0.01,best,0.03,better,0.09,boys,0.01,business,0.01,crowd,0.01,girl,0.01,guys,0.01,happier,0.01,it,0.01,kind,0.01,less,0.09,offended,0.01,lesser,0.01,other,0.01,richer,0.03,same,0.02,trouble,0.01,worse,0.07,worst,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be not all there,107,0.28,,bad,0.18,chipper,0.01,dirty,0.01,done,0.01,ears,0.01,fun,0.01,gone,0.01,good,0.03,happy,0.02,in,0.01,insults,0.01,joy,0.01,knowing,0.01,knowledgeable,0.01,perfect,0.01,right,0.02,sad,0.01,stupid,0.01,surprised,0.01,talk,0.05,that,0.28,together,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be nuts about her/him/me/you,110,0.72,,almonds,0.01,baseball,0.01,cake,0.01,carnivals,0.01,corn,0.01,everyone,0.01,football,0.02,Harry,0.01,it,0.10,movies,0.01,nothing,0.01,nuts,0.05,that,0.01,theater,0.01,us,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be off base,103,0.11,,again,0.05,away,0.01,balance,0.04,beat,0.03,blog,0.01,center,0.02,cocaine,0.01,course,0.07,fighting,0.01,guard,0.03,him,0.01,keel,0.01,key,0.01,kilter,0.17,line,0.02,meds,0.02,point,0.01,putting,0.01,quick,0.01,rocker,0.01,route,0.01,running,0.06,schedule,0.01,shore,0.01,sick,0.01,site,0.01,smoking,0.01,sync,0.01,target,0.01,time,0.01,today,0.01,together,0.05,topic,0.05,track,0.03,tune,0.01,work,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be off one's rocker,110,0.79,,car,0.01,chain,0.01,element,0.01,feet,0.01,game,0.09,heels,0.01,medication,0.01,medicine,0.04,period,0.01,rhythm,0.01,scooter,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be off the cuff,107,0.06,,booze,0.01,chain,0.08,chair,0.01,chart,0.01,charts,0.12,clock,0.01,deep-end,0.02,edge,0.01,farm,0.01,grid,0.03,hinge,0.01,hook,0.16,mark,0.05,market,0.02,medication,0.01,noveria,0.01,path,0.03,races,0.01,rack,0.01,rail/rails,0.02,ramp,0.01,record,0.03,reservation,0.02,road,0.01,rocker,0.05,rocks,0.01,roof,0.02,sauce,0.02,scale,0.01,shelf,0.01,table,0.02,team,0.01,top,0.01,topic,0.01,wagon,0.02,wall,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be on a slippery slope,111,0.86,,course,0.01,floor,0.01,ground,0.03,ice,0.02,road,0.02,rock,0.01,step,0.01,street,0.01,surface,0.03,territory,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be on auto-pilot,100,0.00,,air,0.01,alert,0.01,base,0.01,call,0.02,coke,0.01,crack,0.01,drugs,0.08,edge,0.04,fire,0.36,first,0.01,him,0.01,it,0.03,leave,0.02,love,0.01,own,0.01,parole,0.02,pills,0.01,point,0.06,probation,0.01,site,0.01,steroids,0.01,table,0.01,team,0.01,tenterhooks,0.01,time,0.10,top,0.06,track,0.02,TV,0.01,vacation,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be on someone's back,103,0.12,,case,0.12,coattails,0.01,face,0.01,foot,0.01,hand,0.01,head,0.01,house,0.01,land,0.01,lawn,0.01,level,0.02,list,0.07,mind,0.17,neck,0.01,nerve/nerves,0.15,property,0.01,radar,0.01,ride,0.01,side,0.11,skateboard,0.01,tab,0.01,tail,0.03,team,0.02,territory,0.01,timeline,0.01,toes,0.01,turf,0.02,wavelength,0.01,yacht,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be on the ball,108,0.06,,back,0.01,ball,0.04,boat,0.01,bridge,0.01,brink,0.01,bus,0.01,car,0.01,dole,0.01,edge,0.06,fence,0.19,floor,0.05,fly,0.01,go,0.01,ground,0.02,horse,0.02,ice,0.01,Iam,0.03,line,0.02,list,0.02,mark,0.01,mend,0.02,money,0.01,moon,0.03,mountain,0.01,move,0.01,news,0.01,phone,0.05,pill,0.01,porch,0.01,pot,0.01,prowl,0.01,rag,0.03,red,0.01,right,0.01,road,0.01,roll,0.02,roof,0.01,run,0.01,show,0.01,spot,0.01,swing,0.01,take,0.01,team,0.01,television,0.01,top,0.02,upswing,0.01,verge,0.02,warpath,0.01,way,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be on the edge of one's seat,108,0.89,,bed,0.03,chair,0.03,cliff,0.01,glory,0.01,motions,0.01,pants,0.01,patience,0.01,rope,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be on the go,105,0.00,,ball,0.02,bed,0.01,board,0.01,boat,0.03,brink,0.01,bus,0.01,car,0.01,chair,0.01,clock,0.01,edge,0.15,fence,0.04,floor,0.06,grass,0.01,ground,0.03,highway,0.01,hill,0.01,limit,0.01,line,0.02,list,0.03,mark,0.01,mend,0.04,money,0.01,moon,0.02,move,0.02,narrow,0.01,outs,0.02,page,0.01,path,0.02,phone,0.06,pill,0.03,porch,0.02,prowl,0.02,rag,0.01,rise,0.01,road,0.05,rocks,0.01,roof,0.01,ropes,0.01,run,0.03,scent,0.01,table,0.01,take,0.01,team,0.01,top,0.01,trip,0.01,verge,0.01,way,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be on the horizon,110,0.02,,boards,0.01,bridge,0.01,brink,0.02,bus,0.01,cheap,0.01,clock,0.01,couch,0.01,downlow,0.01,edge,0.04,end,0.02,fence,0.02,field,0.01,floor,0.05,fly,0.03,foot,0.01,fritz,0.01,ground,0.02,house,0.03,lame,0.02,left,0.01,level,0.04,line,0.02,lips,0.01,list,0.01,loose,0.01,lowdown,0.01,mantel,0.02,mark,0.04,money,0.02,move,0.02,news,0.02,nose,0.02,patio,0.01,porch,0.01,prowl,0.01,radar,0.02,regular,0.01,right,0.02,rise,0.02,road,0.01,rocks,0.04,roof,0.01,sand,0.01,scene,0.01,shelf,0.02,side,0.01,sly,0.02,spot,0.01,stove,0.01,table,0.08,television,0.01,top,0.01,trail,0.01,TV,0.02,verge,0.01,way,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be on the mend,108,0.07,,ball,0.06,beach,0.01,bed,0.01,bench,0.01,boat,0.02,books,0.01,bottom,0.01,brink,0.03,bus,0.02,clock,0.01,couch,0.01,cover,0.01,cross,0.01,cusp,0.01,dole,0.01,defenses,0.01,edge,0.04,fence,0.07,floor,0.06,fritz,0.01,go,0.01,ground,0.02,highway,0.01,hill,0.01,lam,0.05,level,0.01,limit,0.01,line,0.01,list,0.01,mark,0.01,medicine,0.01,mend,0.06,money,0.02,moon,0.02,move,0.01,news,0.01,outs,0.01,payroll,0.01,phone,0.03,pill,0.01,porch,0.01,prowl,0.02,road,0.02,roof,0.01,ropes,0.01,run,0.02,spot,0.01,table,0.01,take,0.02,team,0.02,toilet,0.01,top,0.01,trail,0.01,wagon,0.02,way,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be on the receiving end of it,108,0.68,,abuse,0.01,all,0.01,anger,0.01,conflict,0.01,criticism,0.01,everything,0.01,field,0.01,fortune,0.01,gifts,0.01,hate,0.02,her,0.01,humiliation,0.01,insults,0.01,life,0.01,losing,0.01,love,0.01,message,0.01,nothing,0.02,pain,0.02,privilege,0.01,punishment,0.03,stick,0.02,that,0.02,things,0.03,town,0.01,whipping,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be on the tip of one's tongue,107,0.95,,nose,0.03,toe,0.01,nail,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be on the warpath,53,0.00,,ball,0.08,bike,0.02,boat,0.02,car,0.02,chair,0.02,clock,0.02,court,0.02,deck,0.04,defensive,0.02,downlow,0.02,edge,0.02,fence,0.08,floor,0.06,force,0.02,fritz,0.04,grind,0.02,ground,0.02,job,0.02,level,0.02,mark,0.04,mend,0.06,moon,0.04,outs,0.02,path,0.02,phone,0.02,roof,0.02,run,0.04,scent,0.02,team,0.02,top,0.06,track,0.02,train,0.02,verge,0.04,wagon,0.02,way,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be on top of the world,111,0.83,,ball,0.01,building,0.01,game,0.05,heap,0.01,hill,0.02,house,0.01,mountain,0.02,roof,0.02,situation,0.01,table,0.01,woman,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be one of the boys,110,0.15,,best,0.34,chosen,0.02,crowd,0.03,dancers,0.01,escorts,0.01,family,0.01,favorites,0.01,few,0.01,first,0.02,gals,0.02,gang,0.04,girls,0.04,greats,0.02,guys,0.15,last,0.01,leaders,0.02,leads,0.01,mafia,0.01,managers,0.01,many,0.01,ones,0.01,others,0.01,pack,0.01,stars,0.01,team,0.01,those,0.02,top,0.01,worst,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be one's best bet,109,0.05,,answer,0.01,asset,0.01,attempt,0.03,chance,0.05,choice,0.02,day,0.03,dress,0.05,effort,0.15,feature,0.02,friend,0.07,guess,0.05,hour,0.03,idea,0.03,impression,0.02,interest,0.01,moment,0.05,move,0.02,night,0.01,outfit,0.01,performance,0.04,shot,0.16,showing,0.01,side,0.02,time,0.01,tool,0.01,try,0.01,work,0.06,year,0.01,yet,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be out cold,104,0.36,,again,0.01,bid,0.01,breath,0.01,classed,0.03,control,0.02,dancing,0.02,done,0.02,driving,0.01,fishing,0.01,gunned,0.02,hiking,0.01,late,0.03,numbered,0.08,of,0.01,order,0.01,partying,0.01,played,0.02,playing,0.01,sick,0.02,side,0.07,smoking,0.01,spent,0.01,there,0.12,time,0.01,today,0.01,tonight,0.02,touch,0.01,voted,0.01,witted,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be out for blood,109,0.41,,control,0.01,days,0.01,dinner,0.04,food,0.03,good,0.06,him,0.01,himself,0.01,hours,0.02,hunting,0.01,justice,0.02,keeps,0.01,life,0.02,lunch,0.15,milk,0.01,money,0.01,months,0.01,more,0.01,nothing,0.01,one,0.01,pizza,0.01,punishment,0.01,question,0.01,revenge,0.07,trouble,0.01,vengeance,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be out like a light,110,0.85,,balloon,0.01,bat,0.01,bird,0.01,candle,0.01,champ,0.01,champion,0.01,control,0.01,flash,0.02,fox,0.01,lamp,0.01,log,0.02,rock,0.02,star,0.01,war,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be out of bounds,100,0.00,,ammo,0.01,bread,0.01,butter,0.01,cash,0.01,chances,0.01,control,0.08,copy,0.01,everything,0.02,flour,0.01,flood,0.01,food,0.02,fuel,0.01,gas,0.02,here,0.01,ideas,0.05,it,0.04,ketchup,0.01,league,0.01,line,0.01,loop,0.01,luck,0.10,milk,0.02,mayo,0.01,money,0.08,options,0.03,order,0.02,paper,0.01,rice,0.01,shampoo,0.01,sight,0.02,sorts,0.01,steam,0.01,stock,0.01,style,0.02,sugar,0.01,time,0.17,touch,0.03,town,0.05,whack,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be out of it,108,0.07,,ammo,0.01,ammunition,0.01,bounds,0.01,breath,0.01,bullets,0.01,coins,0.01,cold,0.01,control,0.21,cookies,0.01,food,0.01,gas,0.02,gumption,0.01,here,0.01,ideas,0.04,line,0.01,luck,0.06,mind,0.02,money,0.08,options,0.02,order,0.03,patience,0.02,salt,0.01,shape,0.01,sight,0.01,sorts,0.02,steam,0.01,sugar,0.02,time,0.17,touch,0.03,town,0.01,water,0.01,way,0.01,wits,0.01,work,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be out of line,106,0.03,,ammo,0.01,bounds,0.01,breath,0.03,chances,0.01,coffee,0.01,control,0.37,fuel,0.01,gas,0.01,hand,0.01,here,0.01,ideas,0.02,luck,0.04,mind,0.01,money,0.04,options,0.02,order,0.03,range,0.02,reach,0.02,sight,0.01,sorts,0.03,space,0.01,steam,0.01,sugar,0.02,there,0.01,time,0.10,touch,0.06,town,0.03,trouble,0.01,water,0.01,whack,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be out of one's league,108,0.19,,control,0.01,depth,0.02,element,0.05,faculties,0.01,head,0.01,mind,0.63,money,0.01,reach,0.01,shell,0.02,way,0.03,wits,0.01,world,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be out of order,104,0.12,,air,0.01,ballpark,0.01,bounds,0.07,character,0.02,coins,0.01,context,0.01,control,0.27,gas,0.05,hand,0.01,it,0.01,line,0.04,loop,0.01,love,0.01,luck,0.01,mind,0.01,nowhere,0.02,ordinary,0.03,place,0.02,revenge,0.01,sight,0.06,sorts,0.02,spite,0.02,state,0.01,stock,0.01,style,0.01,sync,0.02,time,0.09,town,0.02,whack,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be out of the blue,104,0.19,,air,0.01,bag,0.04,ballpark,0.05,box,0.05,bunch,0.01,city,0.01,closet,0.03,control,0.02,field,0.01,fire,0.01,house,0.03,mainstream,0.01,norm,0.01,open,0.01,order,0.01,ordinary,0.07,park,0.12,question,0.11,race,0.02,sky,0.01,water,0.02,way,0.08,woods,0.01,world,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be out of the closet,107,0.00,,area,0.01,box,0.01,car,0.01,control,0.01,curve,0.01,door,0.01,fire,0.01,game,0.14,group,0.01,habit,0.01,house,0.07,lane,0.01,league,0.05,loop,0.09,mind,0.01,office,0.02,ordinary,0.02,park,0.04,pen,0.01,picture,0.02,pool,0.01,question,0.01,race,0.05,redzone,0.01,room,0.02,running,0.05,show,0.01,storm,0.01,water,0.01,way,0.16,wild,0.01,wind,0.01,woods,0.05,world,0.04,zone,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be out of the question,108,0.39,,bag,0.01,ball,0.01,balloon,0.04,ballpark,0.02,blue,0.14,cage,0.01,cap,0.01,car,0.01,champlain,0.01,cherry,0.01,cork,0.05,corn,0.01,country,0.01,field,0.01,lid,0.01,magazine,0.01,norm,0.01,ordinary,0.05,park,0.06,top,0.03,way,0.09,window,0.01,world,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be out of touch,107, 	0.04 ,,balance, 	0.01 ,bounds, 	0.02 ,breath, 	0.05 ,clothes, 	0.01 ,contention, 	0.01 ,control, 	0.24 ,country, 	0.01 ,dodge, 	0.01 ,gas, 	0.01 ,here, 	0.02 ,ideas, 	0.05 ,it, 	0.05 ,jail, 	0.01 ,league, 	0.01 ,line, 	0.01 ,luck, 	0.06 ,mind, 	0.01 ,milk, 	0.03 ,money, 	0.05 ,options, 	0.01 ,order, 	0.02 ,place, 	0.01 ,steam, 	0.01 ,there, 	0.02 ,time, 	0.22 ,town, 	0.02 ,vanilla, 	0.01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be out to lunch,106,0.28,,breath,0.01,conquer,0.01,dance,0.01,dinner,0.01,dry,0.01,eat,0.01,fight,0.01,gain,0.01,here,0.01,jog,0.01,kill,0.07,late,0.01,long,0.01,party,0.01,pasture,0.03,play,0.02,sea,0.04,shop,0.03,succeed,0.01,sync,0.01,time,0.01,town,0.06,win,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be over the moon,105,0.49,,boy,0.01,drama,0.01,edge,0.03,failure,0.01,fence,0.01,hill,0.20,hump,0.02,limit/limits,0.03,line,0.03,map,0.01,rainbow,0.04,relation,0.01,top,0.08,worst,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be quick on the draw,105,0.43,,ball,0.02,buzzer,0.01,computer,0.01,court,0.01,defense,0.01,dime,0.02,dot,0.01,feet,0.06,fence,0.01,fly,0.01,game,0.01,ground,0.01,gun,0.01,intake,0.01,job,0.01,knees,0.01,money,0.01,path,0.01,phone,0.01,reaction,0.01,road,0.02,run,0.01,sly,0.01,spiel,0.01,start,0.01,steps,0.01,story,0.01,task,0.01,tip,0.01,trigger,0.09,uptake,0.12,wit,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be ready to roll,103,0.05,,begin,0.01,bolt,0.01,commence,0.01,dance,0.04,do,0.01,fight,0.08,flee,0.01,fly,0.01,go,0.44,leave,0.07,move,0.02,part,0.01,party,0.01,play,0.02,quit,0.03,rock,0.03,rumble,0.10,run,0.02,scream,0.01,surrender,0.01,swim,0.01,tango,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be right up someone's alley,105,0.91,,arm,0.01,chin,0.01,hand,0.01,neck,0.02,nose,0.01,sleeve,0.02,topic,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be rolling in the aisles,104,0.01,,car,0.01,chips,0.01,clover,0.01,dark,0.01,deep,0.09,dice,0.01,dirt,0.04,dough,0.30,floor,0.01,grass,0.07,hay,0.19,money,0.07,mud,0.08,punches,0.01,river,0.01,sand,0.03,sidewalks,0.01,sleep,0.01,snow,0.02,weeds,0.01,wind,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be sacrifice on the altar,104,0.25,,battlefield,0.02,bunt,0.02,country,0.02,day,0.06,deal,0.02,family,0.04,field,0.08,floor,0.02,fly,0.02,game,0.02,hat,0.02,homefront,0.02,horizon,0.02,lamb,0.02,man,0.02,mark,0.02,mount,0.02,mountain,0.02,night,0.02,part,0.02,play,0.02,profit,0.02,run,0.02,side,0.02,table,0.04,team,0.04,time,0.02,way,0.02,whole,0.02,world,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be short and sweet,105,0.71,,easy,0.01,fat,0.08,firm,0.01,long,0.04,sexy,0.01,simple,0.06,stout,0.04,slimy,0.01,slow,0.01,sturdy,0.01,thick,0.01,tiny,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
